Image,Map Name,Map number,Story Name,Story URL,Story Number,Publication,Date of Publication,Map Extent Code,Map Url,Advertisement,Questionable to include,Map image in photo,Map image in art
images/Eco_map017.JPG,Nebraska is No. 1,Eco_map017,Can Detroit recover? Chapter 9 draws to an end,https://uwmadison.box.com/s/gq7wv6ekit9zamezl51w,Eco_story017,The Economist,15-Nov-14,Map_extent005,,FALSE,FALSE,FALSE,FALSE
images/Eco_map016.JPG,"Catalonia, Spain",Eco_map016,Catalonia's future: Let them vote,https://uwmadison.box.com/s/4x0dgjd2i0dnrp6uus3x,Eco_story016,The Economist,15-Nov-14,Map_extent016,,FALSE,FALSE,FALSE,FALSE
images/Eco_map015.JPG,Bridge over troubled water,Eco_map015,Front Cover,https://uwmadison.box.com/s/db65uvcul2ybtxlw9v8t,Eco_story015,The Economist,15-Nov-14,Map_extent015,,FALSE,FALSE,FALSE,TRUE
images/Eco_map014.JPG,The wider world web,Eco_map014,Internet use: A tangled web,https://uwmadison.box.com/s/v7kzzchn35j8r7bburr6,Eco_story014,The Economist,8-Nov-14,Map_extent014,,FALSE,FALSE,FALSE,FALSE
images/Eco_map013.JPG,Old City,Eco_map013,The city of pieces: Undivided and eternal unhappiness,https://uwmadison.box.com/s/fmsjq6z1c14rz68wc6f3,Eco_story013,The Economist,8-Nov-14,Map_extent013,,FALSE,FALSE,FALSE,FALSE
images/Eco_map012.JPG,US-Canada Border,Eco_map012,The United States-Canadian Border: Undefended no more,https://uwmadison.box.com/s/x9ymjgyrafx4ydq9fwl5,Eco_story012,The Economist,8-Nov-14,Map_extent012,,FALSE,FALSE,FALSE,FALSE
images/Eco_map011.JPG,"Political cartoon: Governor painting Ohio ""Pure GOP Red"" ",Eco_map011,Lexington: A big win for John Kasich,https://uwmadison.box.com/s/5t4lxkf48w1pzmply3s3,Eco_story011,The Economist,8-Nov-14,Map_extent011,,FALSE,FALSE,FALSE,TRUE
images/Eco_map010.JPG,Mid-term elections results,Eco_map010,The mid-terms (1): the Senate: Republicans on a roll,https://uwmadison.box.com/s/9sazqo82y9zqel18zd9d,Eco_story010,The Economist,8-Nov-14,Map_extent005,,FALSE,FALSE,FALSE,FALSE
images/Eco_ad004.JPG,Hainan Airlines Boeing 787 Dreamliner flies nonstop between North America and China,Eco_admap004,Hainan Airlines ad,https://uwmadison.box.com/s/nku05s2yvfkxgka8cy24,Eco_ad004,The Economist,8-Nov-14,Ad_extent004,,TRUE,FALSE,FALSE,FALSE
images/Eco_ad003.JPG,Anyone Can Change Everything,Eco_admap003,Rolex Ad (world map),https://uwmadison.box.com/s/40vozi8f4dl7qh1t66ff,Eco_ad003,The Economist,8-Nov-14,Ad_extent003,,TRUE,FALSE,FALSE,FALSE
images/Eco_ad002.JPG,Let's Get Europe Working (Economist Events),Eco_admap002,Let's Get Europe Working (Economist Events),https://uwmadison.box.com/s/5lv8dhbmd9pf9tnzcubz,Eco_ad002,The Economist,1-Nov-14,Ad_extent002,,TRUE,FALSE,FALSE,FALSE
images/Eco_map009.JPG,African Ebola Outbreaks 2014 (as of Oct 27th),Eco_map009,Companies and the Ebola outbreak: Still open for business,https://uwmadison.box.com/s/ablev1or295mg8ioddgg,Eco_story009,The Economist,1-Nov-14,Map_extent009,,FALSE,FALSE,FALSE,FALSE
images/Eco_map008.JPG,"Air photo, probably of an Iranian nuclear facility?",Eco_map008,"We shall overcome, maybe",https://uwmadison.box.com/s/il6nufo9doz92ycoa3np,Eco_story008,The Economist,1-Nov-14,"unknown location, Iran",,FALSE,TRUE,FALSE,FALSE
images/Eco_map007.JPG,Iranian nuclear facilities,Eco_map007,The revolution is over,https://uwmadison.box.com/s/ozfs063pitjp5yr2qg4p,Eco_story007,The Economist,1-Nov-14,Map_extent007,,FALSE,FALSE,FALSE,FALSE
images/Eco_map006.JPG,Brazilian 2014 presidential election: Second-round results by state,Eco_map006,"Brazil's presidential race: By a whisker, more of the same",https://uwmadison.box.com/s/66rpe66jx4sco2erd29y,Eco_story006,The Economist,1-Nov-14,Map_extent006,,FALSE,FALSE,FALSE,FALSE
images/Eco_map005.JPG,US Senate 2014,Eco_map005,The mid-term elections: What they're all about,https://uwmadison.box.com/s/rzlgljxsk87ppa5adral,Eco_story005,The Economist,1-Nov-14,Map_extent005,,FALSE,FALSE,FALSE,FALSE
images/Eco_map004.JPG,"GDP, $ per person, 2010 (Nigeria)",Eco_map004,Nigeria: A nation divided,https://uwmadison.box.com/s/ym9cau0hcicv6udbz55q,Eco_story004,The Economist,25-Oct-14,Map_extent004,,FALSE,FALSE,FALSE,FALSE
images/Eco_ad001.JPG,Ad: Health Care in Africa (Economist Events),Eco_admap001,Ad: Health Care in Africa (Economist Events),https://uwmadison.box.com/s/vyz7p9jpdqyvsw3sxaa3,Eco_ad001,The Economist,18-Oct-14,Ad_extent001,,TRUE,FALSE,FALSE,FALSE
images/Eco_map003.JPG,Oil/Gas pipeline in Myanmar,Eco_map003,Business in Myanmar: Let a million factories rise,https://uwmadison.box.com/s/n7h4i0ywonf31c9lwvqv,Eco_story003,The Economist,18-Oct-14,Map_extent003,,FALSE,FALSE,FALSE,FALSE
images/Eco_map002.JPG,"Ebola Outbreaks to Oct 12, 2014",Eco_map002,The Ebola crisis: Much Worse To Come,https://uwmadison.box.com/s/2ocq540mtdf529jtp4aa,Eco_story002,The Economist,18-Oct-14,Map_extent002,,FALSE,FALSE,FALSE,FALSE
images/Eco_map001.JPG,Syria/Iraq Land Control,Eco_map001,"Syria: Tough, but bowing",https://uwmadison.box.com/s/xsg5h7yysu7q70nh7bs5,Eco_story001,The Economist,18-Oct-14,Map_extent001,,FALSE,FALSE,FALSE,FALSE
